date,time,temperature_2m,temp_f
2026-06-28,2026-06-28T16:00,8.5,47.3
2026-06-28,2026-06-28T16:15,8.5,47.3
2026-06-29,2026-06-28T22:45,3.2,37.8
2026-06-29,2026-06-28T22:45,3.2,37.8
2026-06-29,2026-06-29T13:30,9.2,48.6
2026-06-29,2026-06-29T16:00,9.2,48.6
2026-06-30,2026-06-30T03:30,2.9,37.2
2026-06-30,2026-06-30T07:30,5.8,42.4
2026-06-30,2026-06-30T12:00,10.7,51.3
2026-06-30,2026-06-30T16:15,11.5,52.7
2026-07-01,2026-07-01T03:45,3.1,37.6
2026-07-01,2026-07-01T07:45,6.3,43.3
2026-07-01,2026-07-01T12:00,11.9,53.4
2026-07-01,2026-07-01T16:15,12.2,54.0
